"";"position";"rank";"name";"uri";"imageUri";"industry";"country";"revenue";"marketValue";"headquarters";"ceo";"profits";"assets";"state";"thumbnail";"squareImage"
"174";1702;1702;"Avnet";"avnet";"avnet";"Electronics";"United States";19993;5056;"Arizona";"Bill Joseph Amelio";-141;9235;"Arizona";"http://specials-images.forbesimg.com/imageserve/5926f94a31358e03e5597d98/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5926f94a31358e03e5597d98/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"175";1796;1796;"Axiata Group";"axiata-group";"axiata-group";"Telecommunications services";"Malaysia";5919;8936;"Malaysia";"Jamaludin bin Ibrahim";-1248;15462;NA;NA;NA
"176";741;741;"Axis Bank";"axis-bank";"axis-bank";"Regional Banks";"India";9074;28601;"India";"Amitabh Chaudhry";71;107915;NA;NA;NA
"177";1236;1236;"Ayala";"ayala";"ayala";"Conglomerates";"Philippines";5247;10976;"Philippines";"Jaime Augusto Zobel De Ayala II";593;21049;NA;"http://specials-images.forbesimg.com/imageserve/5d60007995808800097db086/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d60007995808800097db086/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"178";1486;1486;"B3";"b3";"no-pic";"Investment Services";"Brazil";1322;16544;"Brazil";"Gilson Finkelsztain";571;10101;NA;"http://specials-images.forbesimg.com/imageserve/5a0493d731358e542c050908/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5a0493d731358e542c050908/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"179";477;477;"BAE Systems";"bae-systems";"bae-systems";"Aerospace & Defense";"United States";22429;20442;"Washington";"Jerry DeMuro";1333;32028;"Washington";"http://specials-images.forbesimg.com/imageserve/591f441331358e03e5594ade/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/591f441331358e03e5594ade/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"180";927;927;"BAIC Motor";"baic-motor";"baic-motor";"Auto & Truck Manufacturers";"China";23008;6406;"China";"Shao Ping Wang";661;25057;NA;NA;NA
"181";99;99;"BASF";"basf";"basf";"Diversified Chemicals";"Germany";76235;76584;"Germany";"Martin Brudermüller";5553;103775;NA;"http://specials-images.forbesimg.com/imageserve/5cd1a35efd0cc4000870cf2b/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd1a35efd0cc4000870cf2b/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"182";259;259;"BB&T";"bbt";"bbt";"Major Banks";"United States";13237;37695;"North Carolina";"Kelly King";3241;227683;"North Carolina";NA;NA
"183";1054;1054;"BBMG";"bbmg";"bbmg";"Construction Materials";"China";12034;6217;"China";"Jin Zeng PhD";503;39075;NA;NA;NA
"184";1886;1886;"BBVA Banco Continental";"bbva-banco-continental";"bbva-banco-continental";"Regional Banks";"Peru";1777;6349;"Peru";"Eduardo Enrique Torres-Llosa";447;22194;NA;NA;NA
