"";"position";"rank";"name";"uri";"imageUri";"industry";"country";"revenue";"marketValue";"headquarters";"ceo";"profits";"assets";"state";"thumbnail";"squareImage"
"418";749;749;"China Energy Engineering";"china-energy-engineering";"china-energy-engineering";"Construction Services";"China";33796;3643;"China";"Yan Zhang Ding";692;56715;NA;NA;NA
"419";151;151;"China Everbright Bank";"china-everbright-bank";"china-everbright-bank";"Regional Banks";"China";33114;31826;"China";"Haijiao Ge";5115;634652;NA;NA;NA
"420";94;94;"China Evergrande Group";"china-evergrande-group";"china-evergrande-group";"Real Estate";"China";71698;42495;"China";"Hai Jun Xia";5797;273829;NA;NA;NA
"421";544;544;"China Fortune Land Development";"china-fortune-land-development";"china-fortune-land-development";"Construction Services";"China";10382;14482;"China";"Dong Juan Chang";1595;57755;NA;NA;NA
"422";1164;1163;"China Galaxy Securities";"china-galaxy-securities";"china-galaxy-securities";"Investment Services";"China";2442;15139;"China";"Gong yan Chen";435;36611;NA;NA;NA
"423";1019;1019;"China Gas Holdings";"china-gas-holdings";"china-gas-holdings";"Natural Gas Utilities";"Hong Kong";7767;16430;"Hong Kong";"Ming Hui Liu";884;11951;NA;NA;NA
"424";948;948;"China Gezhouba";"china-gezhouba";"china-gezhouba";"Construction Services";"China";15038;5226;"China";"Jian Sheng He";704;31783;NA;NA;NA
"425";968;968;"China Grand Automotive Services";"china-grand-automotive-services";"china-grand-automotive-services";"Specialty Stores";"China";25762;6774;"China";"Jian Ping Li";632;19839;NA;"http://specials-images.forbesimg.com/imageserve/59231486a7ea434078d441e8/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/59231486a7ea434078d441e8/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"426";921;921;"China Hongqiao Group";"china-hongqiao-group";"china-hongqiao-group";"Aluminum";"China";13645;7049;"China";"Bo Zhang";808;25741;NA;NA;NA
"427";860;860;"China Huarong Asset Management";"china-huarong-asset-management";"china-huarong-asset-management";"Major Banks";"China";14924;8416;"China";"Keki M. Mistry";237;249077;NA;NA;NA
"428";1237;1237;"China International Capital";"china-international-capital";"no-pic";"Investment Services";"China";2792;9417;"China";"Ming Jian Bi";519;40115;NA;NA;NA
"429";1165;1165;"China International Marine";"china-international-marine";"china-international-marine";"Heavy Equipment";"China";13972;5229;"China";"Bo Liang Mai";504;23195;NA;NA;NA
"430";1265;1265;"China International Travel Service";"china-international-travel-service";"no-pic";"Business & Personal Services";"China";6284;22780;"China";"Hui Peng";509;3788;NA;NA;NA
"431";1028;1028;"China Jinmao";"china-jinmao";"no-pic";"Consumer Financial Services";"Hong Kong";5938;7966;"Hong Kong";"Cong Rui Li";797;39565;NA;NA;NA
"432";105;105;"China Life Insurance";"china-life-insurance";"china-life-insurance";"Life & Health Insurance";"China";98335;114154;"China";"Heng Xuan Su";1862;474776;NA;NA;NA
"433";1256;1256;"China Life Insurance (Taiwan)";"china-life-insurance-taiwan";"china-life-insurance-taiwan";"Life & Health Insurance";"Taiwan";10045;3293;"Taiwan";"Shu Fen Huang";338;55675;NA;NA;NA
"434";1676;1676;"China Longyuan Power";"china-longyuan-power";"china-longyuan-power";"Diversified Utilities";"China";3996;5501;"China";"Yanbing Jia";607;21339;NA;NA;NA
"435";1229;1228;"China Mengniu Dairy";"china-mengniu-dairy";"china-mengniu-dairy";"Food Processing";"Hong Kong";10442;14150;"Hong Kong";"Min Fang Lu";461;9680;NA;NA;NA
"436";31;31;"China Merchants Bank";"china-merchants-bank";"china-merchants-bank";"Regional Banks";"China";54867;130355;"China";"Huiyu Tian";12259;982526;NA;NA;NA
"437";1826;1826;"China Merchants Expressway Network & Technology Holdings";"china-merchants-expressway-network-technology-holdings";"no-pic";"Other Transportation";"China";1015;8164;"China";"Xiu Feng Wang";591;12247;NA;NA;NA
"438";1461;1461;"China Merchants Port Holdings";"china-merchants-port-holdings";"no-pic";"Other Transportation";"Hong Kong";1296;6935;"Hong Kong";"Jing Tao Bai";924;17873;NA;NA;NA
"439";938;938;"China Merchants Securities";"china-merchants-securities";"china-merchants-securities";"Investment Services";"China";2105;16735;"China";"Yan Wang";665;44414;NA;NA;NA
"440";379;379;"China Merchants Shekou Industrial Zone Holdings";"china-merchants-shekou-industrial-zone-holdings";"no-pic";"Real Estate";"China";12083;26819;"China";"Yong Jun Xu";2277;61643;NA;NA;NA
"441";114;114;"China Minsheng Banking";"china-minsheng-banking";"china-minsheng-banking";"Regional Banks";"China";46698;33875;"China";"Qi Hong";7676;873155;NA;NA;NA
"442";27;27;"China Mobile";"china-mobile";"china-mobile";"Telecommunications services";"Hong Kong";111804;197572;"Hong Kong";"Yue Li";17906;223708;NA;NA;NA
"443";1270;1270;"China Molybdenum";"china-molybdenum";"no-pic";"Iron & Steel";"China";3790;14375;"China";"Fa Ben Li";712;14742;NA;NA;NA
"444";559;559;"China National Building";"china-national-building";"china-national-building";"Construction Materials";"China";32984;8010;"China";"Zhi Ping Song";1219;63598;NA;NA;NA
"445";1696;1695;"China National Chemical";"china-national-chemical";"china-national-chemical";"Construction Services";"China";12245;5010;"China";"Jin Bo Yu";292;14132;NA;NA;NA
"446";893;893;"China National Nuclear Power";"china-national-nuclear-power";"no-pic";"Electric Utilities";"China";5487;14718;"China";"Tao Zhang";649;46449;NA;NA;NA
"447";1800;1800;"China Oriental Group";"china-oriental-group";"no-pic";NA;"Hong Kong";6186;2363;"Hong Kong";"Jing Yuan Han";730;4313;NA;NA;NA
"448";140;140;"China Pacific Insurance";"china-pacific-insurance";"china-pacific-insurance";"Life & Health Insurance";"China";54120;47924;"China";"Qing Wei Kong";2718;191167;NA;NA;NA
"449";1926;1926;"China Petroleum Engineering";"china-petroleum-engineering";"no-pic";NA;"China";8892;4088;"China";"Yu Guang Bai";102;13982;NA;NA;NA
"450";200;200;"China Railway Construction";"china-railway-construction";"china-railway-construction";"Construction Services";"China";109102;22805;"China";"Shao Jun Huang";2703;133660;NA;NA;NA
"451";198;198;"China Railway Group";"china-railway-group";"china-railway-group";"Construction Services";"China";110536;24320;"China";"Li Changjin";2613;137302;NA;NA;NA
"452";1811;1811;"China Railway Signal & Communication";"china-railway-signal-communication";"no-pic";"Electrical Equipment";"China";6019;7115;"China";"Zhi Liang Zhou";534;11605;NA;NA;NA
"453";757;757;"China Reinsurance Group";"china-reinsurance-group";"china-reinsurance-group";"Diversified Insurance";"China";18119;8880;"China";"Lin Jiang Yuan";570;47485;NA;NA;NA
"454";1630;1630;"China Resources Cement Holdings";"china-resources-cement-holdings";"no-pic";"Construction Materials";"Hong Kong";4949;7492;"Hong Kong";"Yonghong Pan";1018;7728;NA;NA;NA
"455";1591;1591;"China Resources Gas Group";"china-resources-gas-group";"no-pic";"Oil & Gas Operations";"Hong Kong";5878;9912;"Hong Kong";"Baofeng Shi";535;9380;NA;NA;NA
"456";267;267;"China Resources Land";"china-resources-land";"china-resources-land";"Real Estate";"Hong Kong";18444;29861;"Hong Kong";"Yong Tang";3632;95510;NA;NA;NA
"457";877;877;"China Resources Pharmaceutical Group";"china-resources-pharmaceutical-group";"no-pic";"Pharmaceuticals";"Hong Kong";24203;9148;"Hong Kong";"Chun Cheng Wang";515;22511;NA;NA;NA
"458";1171;1170;"China Resources Power";"china-resources-power";"china-resources-power";"Electric Utilities";"Hong Kong";9817;6908;"Hong Kong";"Ru Ge Li";504;26595;NA;NA;NA
"459";152;152;"China Shenhua Energy";"china-shenhua-energy";"china-shenhua-energy";"Diversified Metals & Mining";"China";38403;57349;"China";"Wen Ling";6658;85594;NA;NA;NA
"460";1052;1052;"China Shipbuilding Industry";"china-shipbuilding-industry";"china-shipbuilding-industry";"Heavy Equipment";"China";6483;23033;"China";"Liang Wang";175;30054;NA;"http://specials-images.forbesimg.com/imageserve/5b16f709a7ea436b547f7d37/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b16f709a7ea436b547f7d37/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"461";713;713;"China Southern Airlines";"china-southern-airlines";"china-southern-airlines";"Airline";"China";21662;14833;"China";"Xu Lun Ma";463;35993;NA;NA;NA
"462";80;80;"China State Construction Engineering";"china-state-construction-engineering";"china-state-construction-engineering";"Construction Services";"China";178801;41005;"China";"Xiang Ming Wang";5779;271367;NA;NA;NA
"463";773;773;"China Steel";"china-steel";"china-steel";"Iron & Steel";"Taiwan";13287;12577;"Taiwan";"Hung Nan Lin";811;21945;NA;NA;NA
"464";506;505;"China Taiping Insurance";"china-taiping-insurance";"china-taiping-insurance";"Diversified Insurance";"Hong Kong";27254;11865;"Hong Kong";"Bin Wang";846;94255;NA;NA;NA
"465";168;168;"China Telecom";"china-telecom";"china-telecom";"Telecommunications services";"China";57139;42503;"China";"Jie Yang";3244;96623;NA;NA;NA
"466";682;682;"China Tower Corp.";"china-tower";"no-pic";NA;"China";10865;49357;"China";"Ji Lu Tong";400;45933;NA;"http://specials-images.forbesimg.com/imageserve/5d979ca5793bd50006e9dd97/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d979ca5793bd50006e9dd97/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"467";251;251;"China Unicom";"china-unicom";"china-unicom";"Telecommunications services";"Hong Kong";44074;37793;"Hong Kong";"Xiao Chu Wang";1553;79651;NA;NA;NA
"468";124;124;"China Vanke";"china-vanke";"china-vanke";"Real Estate";"China";41058;46533;"China";"Jiu Sheng Zhu";5005;222640;NA;NA;NA
"469";434;434;"China Yangtze Power";"china-yangtze-power";"china-yangtze-power";"Electric Utilities";"China";7745;54729;"China";"Ding Ming Zhang";3429;43669;NA;NA;NA
"470";493;493;"China Zheshang Bank";"china-zheshang-bank";"china-zheshang-bank";"Regional Banks";"China";12901;10355;"China";"Ren Kang Shen";1714;239927;NA;NA;NA
"471";1782;1782;"China Zhongwang Holdings";"china-zhongwang-holdings";"no-pic";"Aluminum";"China";3836;4019;"China";"Chang Qing Lu";624;17376;NA;NA;NA
"472";1808;1808;"Chipotle Mexican Grill";"chipotle-mexican-grill";"chipotle-mexican-grill";"Restaurants";"United States";4865;19408;"California";"Brian R. Niccol";177;2404;"California";"http://specials-images.forbesimg.com/imageserve/5798cd754bbe6f17e8fbb677/280x425.jpg?fit=scale&background=000000";"http://specials-images.forbesimg.com/imageserve/5798cd754bbe6f17e8fbb677/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"473";1642;1642;"Chongqing Changan Auto";"chongqing-changan-aut";"chongqing-changan-aut";"Auto & Truck Manufacturers";"China";11572;6237;"China";"Taek-Geun Jeong";387;13755;NA;NA;NA
"474";1453;1453;"Chongqing Rural Bank";"chongqing-rural-bank";"chongqing-rural-bank";"Regional Banks";"China";6936;6144;"China";"Jian Zhong Liu";1369;NA;NA;NA;NA
"475";1333;1333;"Chow Tai Fook Jewellery";"chow-tai-fook-jewellery";"chow-tai-fook-jewellery";"Apparel/Accessories";"Hong Kong";8185;11166;"Hong Kong";"Siu Kee Wong";543;7405;NA;NA;NA
"476";143;143;"Christian Dior";"christian-dior";"christian-dior";"Apparel/Accessories";"France";55243;89566;"France";"Sidney Toledano";3037;88332;NA;NA;NA
"477";137;137;"Chubb";"chubb";"chubb";"Property & Casualty Insurance";"Switzerland";32635;63539;"Switzerland";"Evan G. Greenberg";3962;167771;NA;NA;NA
"478";681;681;"Chubu Electric Power";"chubu-electric-power";"chubu-electric-power";"Electric Utilities";"Japan";27070;10837;"Japan";"Akihisa Mizuno";511;50598;NA;NA;NA
"479";1636;1635;"Chugoku Bank";"chugoku-bank";"chugoku-bank";"Regional Banks";"Japan";1093;1875;"Japan";"Masato Miyanaga";156;76060;NA;NA;NA
"480";1339;1339;"Chugoku Electric Power";"chugoku-electric-power";"chugoku-electric-power";"Electric Utilities";"Japan";12388;4107;"Japan";"Tomohide Karita";105;29084;NA;NA;NA
"481";807;807;"Chunghwa Telecom";"chunghwa-telecom";"chunghwa-telecom";"Telecommunications services";"Taiwan";7146;27670;"Taiwan";"Chi-Mau Sheih";1177;15202;NA;NA;NA
"482";1458;1458;"Church & Dwight";"church-dwight";"church-dwight";"Household/Personal Care";"United States";4146;18157;"New Jersey";"Matthew T. Thomas Farrell";569;6069;"New Jersey";"http://specials-images.forbesimg.com/imageserve/5798ce62a7ea4374a7c66037/280x425.jpg?fit=scale&background=000000";"http://specials-images.forbesimg.com/imageserve/5798ce62a7ea4374a7c66037/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"483";1479;1478;"Cielo";"cielo";"cielo";"Business & Personal Services";"Brazil";3196;5672;"Brazil";"Eduardo Campozana Gouveia";914;21302;NA;"http://specials-images.forbesimg.com/imageserve/5798d0c84bbe6f17e8fbb6ae/280x425.jpg?fit=scale&background=000000";"http://specials-images.forbesimg.com/imageserve/5798d0c84bbe6f17e8fbb6ae/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"484";149;149;"Cigna";"cigna";"cigna";"Managed Health Care";"United States";48610;56571;"Connecticut";"David M. Michael Cordani";2637;154640;"Connecticut";NA;NA
"485";1916;1916;"Cimarex Energy";"cimarex-energy";"cimarex-energy";"Oil & Gas Operations";"United States";2339;7028;"Colorado";"Thomas E. Jorden";781;6062;"Colorado";NA;NA
"486";1394;1394;"Cincinnati Financial";"cincinnati-financial";"cincinnati-financial";"Diversified Insurance";"United States";5407;14127;"Ohio";"Steven J. Johnston";287;22133;"Ohio";NA;NA
"487";1047;1047;"Cintas";"cintas";"cintas";"Business & Personal Services";"United States";6768;22345;"Ohio";"Scott D. Douglas Farmer";834;7434;"Ohio";NA;NA
"488";74;74;"Cisco Systems";"cisco-systems";"cisco-systems";"Communications Equipment";"United States";50822;248275;"California";"Chuck H. Robbins";12865;102462;"California";"http://specials-images.forbesimg.com/imageserve/5c13d2f64bbe6f0f2aa26233/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5c13d2f64bbe6f0f2aa26233/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"489";456;456;"Citic Securities";"citic-securities";"citic-securities";"Investment Services";"China";7725;40829;"China";"Federico Bazzoni";1431;95130;NA;NA;NA
"490";14;14;"Citigroup";"citigroup";"citigroup";"Major Banks";"United States";99974;161112;"New York";"Michael L. Louis Corbat";17928;1958413;"New York";"http://specials-images.forbesimg.com/imageserve/5cd1a5a0c904c40008ac8dc0/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd1a5a0c904c40008ac8dc0/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"491";535;535;"Citizens Financial Group";"citizens-financial-group";"citizens-financial-group";"Regional Banks";"United States";7168;16279;"Rhode Island";"Bruce Winfield van Saun";1721;161310;"Rhode Island";NA;NA
"492";1580;1580;"Citrix Systems";"citrix-systems";"citrix-systems";"Software & Programming";"United States";2974;13187;"Florida";"David James Henshall";576;5136;"Florida";NA;NA
"493";1868;1868;"Cleveland-cliffs";"cleveland-cliffs";"no-pic";"Iron & Steel";"United States";1968;2723;"Ohio";"C. Lourenço Gonçalves";1128;4152;"Ohio";NA;NA
"494";1137;1137;"Clorox";"clorox";"clorox";"Household/Personal Care";"United States";6244;19671;"California";"Benno O. Dorer";790;5073;"California";"http://specials-images.forbesimg.com/imageserve/59e4fbc0a7ea436b47b3e290/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/59e4fbc0a7ea436b47b3e290/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"495";1911;1911;"CoStar Group";"costar-group";"costar-group";"Software & Programming";"United States";1192;17560;"District of Columbia";"Andrew C. Florance";238;3313;"District of Columbia";NA;NA
"496";583;583;"Coal India";"coal-india";"coal-india";"Diversified Metals & Mining";"India";14379;22535;"India";"Anil Kumar Jha";1860;18318;NA;NA;NA
"497";133;133;"Coca-Cola";"coca-cola";"coca-cola";"Beverages";"United States";31697;202985;"Georgia";"James Quincey";6434;83216;"Georgia";"http://specials-images.forbesimg.com/imageserve/5cd1a8c8660f45000833182b/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd1a8c8660f45000833182b/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"498";621;621;"Coca-Cola European Partners";"coca-cola-european-partners";"coca-cola-european-partners";"Beverages";"United Kingdom";13577;24715;"United Kingdom";"Damian Paul Gammell";1071;20824;NA;NA;NA
"499";1315;1315;"Coca-Cola HBC";"coca-cola-hbc";"coca-cola-hbc";"Beverages";"Switzerland";7854;12871;"Switzerland";"Zoran Bogdanovic";528;7835;NA;NA;NA
"500";524;524;"Cognizant";"cognizant";"cognizant";"Computer Services";"United States";16125;41028;"New Jersey";"Francisco D’Souza";2101;15913;"New Jersey";"http://specials-images.forbesimg.com/imageserve/5d1233cc142c500008c72b91/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d1233cc142c500008c72b91/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"501";556;556;"Colgate-Palmolive";"colgate-palmolive";"colgate-palmolive";"Household/Personal Care";"United States";15544;59628;"New York";"Ian M. Cook";2400;12161;"New York";"http://specials-images.forbesimg.com/imageserve/5c13d340a7ea4370591a5bc7/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5c13d340a7ea4370591a5bc7/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"502";1361;1361;"Coloplast";"coloplast";"coloplast";"Medical Equipment & Supplies";"Denmark";2662;21927;"Denmark";"Lars Søren Rasmussen";617;1856;NA;"http://specials-images.forbesimg.com/imageserve/5798e2fd31358e154fde0030/280x425.jpg?fit=scale&background=000000";"http://specials-images.forbesimg.com/imageserve/5798e2fd31358e154fde0030/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"503";1364;1364;"Colruyt";"colruyt";"colruyt";"Food Retail";"Belgium";10904;9578;"Belgium";"Jef Colruyt";476;4791;NA;NA;NA
"504";33;33;"Comcast";"comcast";"comcast";"Broadcasting & Cable";"United States";94507;192037;"Pennsylvania";"Brian L. Roberts";11731;251684;"Pennsylvania";NA;NA
"505";810;810;"Comerica";"comerica";"comerica";"Major Banks";"United States";3684;12129;"Texas";NA;1285;70690;"Texas";NA;NA
"506";1828;1828;"Commerce Bank";"commerce-bank";"commerce-bank";"Regional Banks";"United States";1404;6521;"Missouri";"John W. Kemper";426;25033;"Missouri";"http://specials-images.forbesimg.com/imageserve/5b631b724bbe6f48a94c9ec2/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b631b724bbe6f48a94c9ec2/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"507";1716;1716;"Commercial Bank For Investment & Development Of Vietnam";"commercial-bank-for-investment-development-of-vietnam";"commercial-bank-for-investment-development-of-vietnam";"Regional Banks";"Vietnam";4528;5127;"Vietnam";"Tu Duc Phan";322;56609;NA;NA;NA
"508";1701;1701;"Commercial Bank of Qatar";"commercial-bank-of-qatar";"commercial-bank-of-qatar";"Regional Banks";"Qatar";2114;5279;"Qatar";"Joseph Abraham";398;39541;NA;NA;NA
"509";1824;1824;"Commercial International Bank";"commercial-international-bank";"commercial-international-bank";"Regional Banks";"Egypt";2378;6182;"Egypt";"Hussein Majid Abaza";538;19111;NA;NA;NA
"510";494;494;"Commerzbank";"commerzbank";"commerzbank";"Regional Banks";"Germany";15165;11444;"Germany";"Martin Zielke";1008;528557;NA;NA;NA
"511";79;79;"Commonwealth Bank";"commonwealth-bank";"commonwealth-bank";"Major Banks";"Australia";31396;92822;"Australia";"Matthew Comyn";6736;690223;NA;NA;NA
"512";1554;1554;"Community Health Systems";"community-health-sys";"community-health-sys";"Healthcare Services";"United States";14155;385;"Tennessee";"Wayne T. Smith";-788;15859;"Tennessee";NA;NA
"513";1463;1463;"Compal Electronics";"compal-electronics";"compal-electronics";"Computer Hardware";"Taiwan";32092;2769;"Taiwan";"Jui-Tsung Chen";296;13007;NA;NA;NA
"514";1660;1660;"Companhia Brasileira de Distribuicao";"companhia-brasileira-de-distribuicao";"no-pic";"Food Retail";"Brazil";13508;6335;"Brazil";"Peter Paul Lourenço Estermann";326;13636;NA;NA;NA
"515";498;498;"Compass Group";"compass-group";"compass-group";"Restaurants";"United Kingdom";30866;35470;"United Kingdom";"Dominic Blakemore";1512;16447;NA;NA;NA
"516";880;880;"Conagra Brands";"conagra-brands";"conagra-brands";"Food Processing";"United States";8891;14830;"Illinois";"Sean M. Connolly";621;22727;"Illinois";"http://specials-images.forbesimg.com/imageserve/5916305031358e03e5590c74/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5916305031358e03e5590c74/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"517";760;760;"Concho Resources";"concho-resources";"concho-resources";"Oil & Gas Operations";"United States";4151;23462;"Texas";"Tim Leach";2269;26961;"Texas";NA;NA
"518";1223;1223;"Concordia Financial Group";"concordia-financial-group";"no-pic";"Regional Banks";"Japan";2768;4849;"Japan";"Kenichi Kawamura";567;168792;NA;NA;NA
"519";159;159;"ConocoPhillips";"conocophillips";"conocophillips";"Oil & Gas Operations";"United States";36372;74582;"Texas";"Ryan M. Lance";6257;69980;"Texas";NA;NA
"520";449;448;"Consolidated Edison";"consolidated-edison";"consolidated-edison";"Electric Utilities";"United States";12332;27336;"New York";"John J. McAvoy";1382;53920;"New York";NA;NA
"521";516;516;"Constellation Brands";"constellation-brands";"constellation-brands";"Beverages";"United States";8116;37284;"New York";"William A. Newlands";3436;29232;"New York";"http://specials-images.forbesimg.com/imageserve/57b3844a31358e4cbf0a0ad2/280x425.jpg?fit=scale&background=000000";"http://specials-images.forbesimg.com/imageserve/57b3844a31358e4cbf0a0ad2/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"522";1757;1757;"Constellation Software";"constellation-software";"constellation-software";NA;"Canada";3062;18726;"Canada";"Mark Henri Leonard";381;2935;NA;NA;NA
"523";1340;1340;"Contemporary Amperex Technology";"contemporary-amperex-technology";"no-pic";NA;"China";4135;27427;"China";"Jia Zhou";564;9271;NA;NA;NA
"524";239;239;"Continental";"continental";"continental";"Auto & Truck Parts";"Germany";52386;34991;"Germany";"Elmar Degenhart";3418;47423;NA;NA;NA
"525";1050;1050;"Continental Resources";"continental-resources";"continental-resources";"Oil & Gas Operations";"United States";4734;18780;"Oklahoma";"Harold G. Hamm";988;15874;"Oklahoma";NA;NA
"526";1649;1649;"Copart";"copart";"copart";"Business & Personal Services";"United States";1874;14847;"Texas";"A. Jayson Adair";483;2297;"Texas";NA;NA
"527";1789;1789;"Core-Mark Holding";"core-mark-holding";"no-pic";"Trading Companies";"United States";16395;1667;"California";"Scott E. McPherson";46;1685;"California";NA;NA
"528";591;591;"Corning";"corning";"corning";"Communications Equipment";"United States";11290;27365;"New York";"Wendell P. P. Weeks";1066;27505;"New York";NA;NA
"529";1952;1952;"Corporation Bank";"corporation-bank";"corporation-bank";"Regional Banks";"India";3094;2416;"India";"P. V. Bharathi";-628;34105;NA;NA;NA
"530";977;977;"Cosco Shipping";"cosco-shipping";"no-pic";"Other Transportation";"China";18082;9884;"China";"Hai Min Wang";180;33230;NA;NA;NA
"531";1182;1182;"Cosmo Energy Holdings";"cosmo-energy-holdings";"no-pic";"Oil & Gas Operations";"Japan";25325;1707;"Japan";"Hiroshi Kiriyama";482;16237;NA;NA;NA
"532";173;173;"Costco Wholesale";"costco-wholesale";"costco-wholesale";"Discount Stores";"United States";147237;108127;"Washington";"W. Craig Craig Jelinek";3449;42799;"Washington";"http://specials-images.forbesimg.com/imageserve/5cd1a957c904c40008ac8def/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd1a957c904c40008ac8def/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"533";1381;1381;"Coty";"coty-inc";"coty-inc";"Household/Personal Care";"United States";9066;8459;"New York";"Pierre Laubies";-1231;21271;"New York";NA;NA
"534";364;364;"Couche Tard";"couche-tard";"couche-tard";"Food Retail";"Canada";59671;33683;"Canada";"Brian P. Hannasch";1954;22247;NA;NA;NA
"535";129;129;"Country Garden Holdings";"country-garden-holdings";"country-garden-holdings";"Real Estate";"China";56734;35243;"China";"Tzar Kuoi Li";5191;237367;NA;NA;NA
"536";761;761;"Covestro";"covestro";"no-pic";"Specialized Chemicals";"Germany";17243;10896;"Germany";"Markus Steilemann";2151;12882;NA;NA;NA
"537";1173;1172;"Covivio";"covivio";"no-pic";"Real Estate";"France";1489;8839;"France";"Christophe Joseph Kullmann";884;27950;NA;NA;NA
"538";727;727;"Credicorp";"credicorp";"credicorp";"Regional Banks";"Peru";5321;18452;"Peru";"Walter Bayly Llona";1213;52585;NA;NA;NA
"539";1885;1885;"Credit Acceptance";"credit-acceptance";"no-pic";"Business & Personal Services";"United States";1286;8926;"Michigan";"Brett A. Roberts";574;6375;"Michigan";NA;NA
"540";104;104;"Credit Agricole";"credit-agricole";"credit-agricole";"Regional Banks";"France";52245;38353;"France";"Dominique Lefebvre";4668;1856926;NA;NA;NA
"541";1837;1837;"Credit Bank of Moscow";"credit-bank-of-moscow";"no-pic";"Regional Banks";"Russia";2451;2522;"Russia";"Vladimir Aleksandrovich Chubar";395;30933;NA;NA;NA
"542";191;191;"Credit Suisse Group";"credit-suisse-group";"credit-suisse-group";"Major Banks";"Switzerland";34051;34414;"Switzerland";"Tidjane Thiam";2102;779992;NA;NA;NA
"543";1776;1776;"Credito Emiliano";"credito-emiliano";"credito-emiliano";"Regional Banks";"Italy";2270;1937;"Italy";"Nazzareno Gregori";220;49348;NA;NA;NA
"544";718;718;"Crown Castle International";"crown-castle-international";"crown-castle-international";"Telecommunications services";"United States";5550;50978;"Texas";"Jay A. Brown";767;37778;"Texas";NA;NA
"545";1291;1291;"Crown Holdings";"crown-holdings";"crown-holdings";"Containers & Packaging";"United States";11719;7637;"Pennsylvania";"Timothy Joseph Donahue";452;15357;"Pennsylvania";NA;NA
"546";1612;1610;"Csc Financial";"csc-financial";"no-pic";"Investment Services";"China";2481;6803;"China";"Ge Ping Li";469;28414;NA;NA;NA
"547";1255;1255;"Ctrip.com International";"ctrip-international";"ctrip-international";"Business & Personal Services";"China";4674;24569;"China";"Jane Jie Sun";201;27066;NA;NA;NA
"548";1628;1628;"Cullen/Frost Bankers";"cullen-frost-bankers";"cullen-frost-bankers";"Regional Banks";"United States";1397;6458;"Texas";"Phillip D. Green";452;32293;"Texas";NA;NA
"549";485;485;"Cummins";"cummins";"cummins";"Heavy Equipment";"United States";23771;26431;"Indiana";"Tom Linebarger";2141;19062;"Indiana";"http://specials-images.forbesimg.com/imageserve/5b6af15e4bbe6f48a94d1121/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b6af15e4bbe6f48a94d1121/416x416.jpg?background=000000&cropX1=0&cropX2=393&cropY1=0&cropY2=393"
"550";1714;1714;"Cybg";"cybg";"no-pic";"Regional Banks";"United Kingdom";1715;4056;"United Kingdom";"David Joseph Duffy";-234;56669;NA;NA;NA
"551";668;668;"D.R. Horton";"dr-horton";"dr-horton";"Construction Services";"United States";16254;17334;"Virginia";"David V. V. Auld";1558;14536;"Virginia";NA;NA
